pairId:INTEGER,walmart.id:TEXT,amazon.id:TEXT
1,2439,21551
2,429,19119
3,782,18050
4,1415,8579
5,2254,3257
6,1219,6822
7,349,12823
8,1838,11301
9,2442,11617
10,202,21061
11,24,11173
12,57,21603
13,1916,9178
14,637,19347
15,1045,12724
16,1381,13751
17,881,1276
18,2522,4567
19,1535,6929
20,306,9327
21,1366,980
22,1057,2020
23,316,10829
24,508,10376
25,2082,14699
26,2063,10251
27,1696,16652
28,41,12787
29,1135,14705
30,528,5097
31,1097,4861
32,2150,12854
33,321,3121
34,730,18153
35,2122,11925
36,2375,20396
37,1455,16913
38,2391,18152
39,282,11383
40,1676,18153
41,2116,17838
42,1938,21450
43,2115,16318
44,511,20785
45,615,5970
46,1566,1359
47,920,17372
48,2413,20082
49,913,7769
50,1629,14271
51,926,10939
52,1366,12966
53,1741,10498
54,1908,14432
55,2022,18318
56,2482,9515
57,1572,21812
58,930,5250
59,1657,4639
60,2372,6950
61,1676,10870
62,1937,8763
63,1204,6691
64,1033,19475
65,469,18665
66,2462,21974
67,1256,2590
68,2319,20487
69,346,14156
70,399,16227
71,57,16229
72,357,21046
73,1031,207
74,82,16668
75,600,553
76,1914,12794
77,592,13097
78,343,15294
79,1277,8031
80,1226,11948
81,793,4801
82,2407,11965
83,1298,15702
84,1809,11863
85,1015,12267
86,254,3743
87,1285,15302
88,1362,19174
89,1582,854
90,720,10405
91,910,11420
92,1259,2819
93,720,20680
94,1194,391
95,867,18470
96,1295,20039
97,1361,1418
98,1313,7666
99,698,18510
100,2511,13584
101,1379,6034
102,63,11954
103,1122,15048
104,1532,17760
105,234,19445
106,586,370
107,851,19492
108,1305,15519
109,122,10675
110,946,18139
111,824,2825
112,226,12325
113,2538,6135
114,628,10752
115,1144,18796
116,2293,21580
117,1934,9940
118,2260,13670
119,1133,18445
120,1609,5218
121,1322,21559
122,1117,17384
123,2477,17387
124,1886,10306
125,1979,10001
126,2205,18154
127,2019,1275
128,2431,19284
129,1295,19752
130,1440,19655
131,1130,7007
132,216,4768
133,2549,11274
134,2279,19437
135,884,3045
136,415,10709
137,283,14130
138,2333,6747
139,1683,9988
140,1196,15907
141,2362,8790
142,2423,11058
143,2391,6747
144,1476,6606
145,1811,2730
146,2305,10808
147,1366,7453
148,1925,14225
149,627,14704
150,95,9429
151,662,8217
152,1540,8813
153,2230,13749
154,1511,2635
155,1995,3686
156,2118,13097
157,296,9986
158,2392,11015
159,2413,21236
160,1699,2014
161,2306,21058
162,1550,18029
163,2148,5267
164,2294,6801
165,66,20021
166,2372,17510
167,1179,14706
168,26,1078
169,1825,10282
170,2451,1028
171,2518,10933
172,1997,20715
173,1928,21370
174,771,7969
175,2350,19783
176,383,6801
177,2306,14295
178,533,14016
179,1801,20968
180,573,12695
181,913,13723
182,1156,4711
183,2495,6753
184,890,3824
185,1405,3031
186,1484,1572
187,2055,7602
188,2002,6033
189,533,15995
190,2204,6747
191,2098,3730
192,654,17183
193,412,4581
194,2527,16163
195,2260,13257
196,260,8763
197,1934,20021
198,710,7052
199,2150,6799
200,522,1719
201,1361,21585
202,2306,19867
203,1229,9286
204,619,192
205,1134,20430
206,41,8790
207,969,17089
208,1537,7306
209,1535,4689
210,133,4066
211,1967,12627
212,1076,14559
213,573,735
214,354,2257
215,2442,1630
216,2096,2235
217,1952,3476
218,2251,18188
219,2516,11801
220,208,17061
221,321,14867
222,2549,7802
223,1582,11333
224,151,10427
225,1662,13917
226,1361,11415
227,1797,5415
228,383,9523
229,1578,8934
230,2150,5741
231,1430,3556
232,455,5097
233,557,4494
234,707,6830
235,1237,6356
236,1845,3563
237,1538,3702
238,1573,19129
239,1891,892
240,2083,810
241,1533,9289
242,286,14695
243,2432,802
244,2093,1864
245,85,11154
246,1956,18503
247,1196,16592
248,1674,747
249,167,14445
250,926,3988
251,2273,15972
252,1503,13389
253,2021,287
254,58,20791
255,2549,1190
256,1933,6992
257,2432,8789
258,1343,21848
259,1076,11047
260,2432,16321
261,1042,21934
262,133,11835
263,966,2803
264,2205,9065
265,1632,3102
266,2297,765
267,1509,15567
268,12,1719
269,1967,1489
270,293,12594
271,793,11064
272,354,12881
273,1366,15315
274,528,14307
275,2280,6747
276,1216,9650
277,701,8789
278,61,7687
279,202,13670
280,74,1900
281,371,9603
282,422,9544
283,968,14703
284,2364,6741
285,2256,13253
286,2127,1615
287,917,12922
288,2518,14674
289,484,1150
290,2322,8235
291,1033,19606
292,2551,3026
293,884,3036
294,1310,3196
295,1122,4788
296,1297,14689
297,278,5574
298,2124,5742
299,399,17728
300,2482,21374
301,890,2466
302,1097,3557
303,2351,14173
304,1902,20347
305,1432,16029
306,1955,3987
307,2003,14942
308,146,6537
309,1379,5217
310,2217,11149
311,57,20069
312,2118,6584
313,1810,14685
314,673,21803
315,24,20177
316,1130,15504
317,485,11433
318,2539,11353
319,1828,5091
320,2256,12649
321,2299,11838
322,500,5029
323,1590,4189
324,2517,4660
325,1244,821
326,897,9403
327,1426,8790
328,2505,12785
329,1112,18720
330,290,11970
331,2068,18444
332,184,12519
333,1514,6442
334,948,7036
335,475,13665
336,471,19403
337,2093,13766
338,200,8903
339,1712,16519
340,1843,5031
341,63,11639
342,1411,6748
343,1160,7086
344,993,14940
345,2526,6401
346,278,11153
347,2072,13974
348,993,21236
349,844,2019
350,1122,9860
351,275,19888
352,2083,20715
353,65,2300
354,245,3297
355,1739,4026
356,946,7929
357,2350,4980
358,649,6770
359,1713,5723
360,2064,14161
361,1709,17106
362,1554,815
363,1582,20143
364,2002,19079
365,547,2728
366,2434,6453
367,2190,5318
368,684,19141
369,932,12484
370,2083,11014
371,533,14295
372,2019,7246
373,2393,14496
374,321,20455
375,1226,13341
376,422,16697
377,2423,13231
378,2204,4730
379,1868,7579
380,308,11040
381,824,3692
382,1696,17564
383,1702,17564
384,1866,484
385,1191,12728
386,1183,2881
387,1984,10362
388,1275,9289
389,1746,17212
390,183,3982
391,935,7125
392,2007,1462
393,321,1281
394,1328,20716
395,2049,11015
396,1297,2825
397,689,6799
398,446,16200
399,1063,18602
400,2373,22
401,1617,8520
402,1953,21322
403,1456,17438
404,349,3180
405,1674,9943
406,945,8078
407,2090,12194
408,2472,14681
409,935,12666
410,1622,17876
411,2297,8690
412,1349,12647
413,514,3465
414,1493,17562
415,2311,9121
416,819,6142
417,1906,11802
418,1313,7576
419,2326,3692
420,283,8707
421,135,2135
422,2413,20676
423,1712,21213
424,1960,10752
425,2080,3945
426,1868,8869
427,1419,12228
428,1639,18088
429,2261,6447
430,412,7046
431,1216,13378
432,1419,11149
433,1672,14156
434,2223,12786
435,710,15519
436,2261,13722
437,308,6024
438,1633,14493
439,2083,16609
440,1099,8181
441,1146,4783
442,74,8246
443,2260,819
444,890,798
445,2155,2489
446,1251,13434
447,788,8781
448,897,11929
449,2263,6032
450,1949,4290
451,944,19627
452,532,2726
453,1355,6149
454,54,14691
455,2493,10152
456,57,15640
457,383,11172
458,633,20985
459,2503,8490
460,2352,6066
461,642,13176
462,1537,14821
463,185,9914
464,216,5536
465,832,6525
466,156,8602
467,2072,920
468,993,6985
469,1349,10603
470,91,18725
471,2249,1817
472,939,12669
473,1433,10266
474,1806,1616
475,216,15270
476,1313,6287
477,824,21934
478,2223,10746
479,2449,2662
480,684,2227
481,1732,19385
482,533,6410
483,1130,7267
484,1194,14304
485,402,6691
486,476,20393
487,1251,5518
488,420,2383
489,2526,9373
490,2044,12736
491,2482,11890
492,2317,15124
493,2495,19284
494,1361,5544
495,967,13532
496,1025,18695
497,291,267
498,456,1617
499,1454,19452
500,1679,17698
501,1854,610
502,966,2790
503,1864,11804
504,832,2112
505,515,4915
506,2528,11280
507,2435,16318
508,1882,8931
509,2463,19456
510,1430,1314
511,124,15272
512,598,21272
513,219,18618
514,2364,19284
515,2293,5855
516,2082,806
517,782,17875
518,1898,13678
519,244,8192
520,45,16964
521,926,2517
522,1579,12881
523,722,12303
524,1282,16541
525,2515,4868
526,1532,16753
527,1662,12574
528,2209,1466
529,1960,6744
530,1739,16909
531,2543,17837
532,459,7323
533,2395,9254
534,2267,11112
535,167,21323
536,1537,5216
537,2114,4728
538,1578,2759
539,590,3550
540,2172,17838
541,1561,1771
542,1406,9870
543,1062,4728
544,2132,5396
545,2003,14928
546,901,2392
547,216,952
548,2275,15145
549,1242,17235
550,1845,19800
551,177,4469
552,2306,14822
553,282,11118
554,2474,6749
555,595,20844
556,1650,12280
557,2534,20122
558,2124,10792
559,1444,19242
560,133,982
561,398,14295
562,1366,1589
563,151,4373
564,1582,20791
565,1911,22003
566,1076,4567
567,2522,6594
568,366,7932
569,2010,13664
570,1360,14962
571,562,21936
572,743,9436
573,1013,13087
574,1698,21668
575,1045,12075
576,1997,8789
577,2326,17847
578,33,14687
579,993,1036
580,995,8788
581,79,21640
582,281,19284
583,2416,4730
584,2391,7633
585,1948,19996
586,1771,10291
587,2413,6489
588,1584,20915
589,1122,8842
590,582,7168
591,328,21795
592,999,15506
593,2294,20555
594,1218,14827
595,1258,20122
596,430,19905
597,742,16616
598,1650,15423
599,420,11275
600,2122,4433
601,2519,10681
602,429,3105
603,41,22072
604,26,1052
605,427,3002
606,1771,15052
607,383,1635
608,203,902
609,1316,5462
610,200,9554
611,1625,3840
612,1793,18747
613,92,10743
614,1379,20791
615,183,5949
616,2034,647
617,175,13481
618,684,4655
619,42,10808
620,722,1356
621,349,3813
622,1862,19775
623,926,11679
624,2440,20135
625,1504,16760
626,2092,14076
627,1862,825
628,2221,4726
629,794,15292
630,1383,14304
631,1642,5925
632,74,8548
633,1156,10915
634,1017,15001
635,844,3899
636,1300,14224
637,1345,11335
638,563,6432
639,636,20607
640,1861,4617
641,703,287
642,583,9458
643,843,16609
644,1233,13102
645,968,6744
646,2512,15763
647,689,11769
648,2266,9442
649,2434,17518
650,802,5017
651,1953,15688
652,788,1307
653,113,4731
654,2350,13926
655,1419,834
656,30,5262
657,475,18530
658,2024,1977
659,1345,9604
660,2010,17370
661,93,18466
662,794,20496
663,1496,16318
664,1044,17385
665,2002,7262
666,995,20716
667,1238,9021
668,260,3653
669,593,6824
670,1109,2726
671,2003,13750
672,2419,5933
673,1654,10291
674,1452,14320
675,1210,19971
676,185,10925
677,1582,13352
678,2158,15506
679,1455,21569
680,1012,12734
681,2297,21405
682,74,1264
683,1461,13295
684,402,7687
685,1226,5413
686,543,15098
687,577,17847
688,1861,15509
689,12,19561
690,901,8183
691,2255,6206
692,2426,17796
693,20,18075
694,308,10210
695,1229,5476
696,2536,9007
697,289,10078
698,1295,11067
699,2306,4470
700,533,2075
701,1512,13475
702,1503,10099
703,1632,1436
704,325,19774
705,745,12790
706,185,22031
707,2534,7684
708,1394,18383
709,1469,11940
710,1483,4464
711,2132,16616
712,1429,10332
713,1259,18466
714,593,7184
715,1582,12214
716,1995,11974
717,2297,10475
718,2225,769
719,1864,1620
720,1204,14636
721,218,5275
722,684,21748
723,473,11887
724,1409,16102
725,1142,1289
726,1657,10730
727,412,20143
728,2352,19292
729,2375,2240
730,1597,2392
731,1862,11353
732,1461,14499
733,613,21956
734,2095,20455
735,531,18533
736,26,4984
737,1803,13013
738,110,856
739,181,4671
740,2095,6953
741,1679,20716
742,63,19393
743,1080,7687
744,2145,8787
745,581,4371
746,1126,14487
747,2326,13428
748,597,19517
749,2256,2076
750,420,7694
751,1315,12139
752,2192,18844
753,334,10083
754,1680,17847
755,2104,14837
756,2150,12585
757,2298,18154
758,85,12878
759,672,19170
760,167,16963
761,2433,17382
762,1654,20533
763,35,1041
764,1295,6272
