pairId,id2,id1,label
1,1768,395,1
2,12408,1234,1
3,8497,1341,1
4,13748,1093,1
5,12857,1719,1
6,14870,596,1
7,7801,1906,1
8,20844,595,1
9,11404,1785,1
10,2964,2104,1
11,12996,723,1
12,20646,469,1
13,18530,475,1
14,4510,2156,1
15,3591,1973,1
16,1091,1535,1
17,5039,2508,1
18,6452,932,1
19,7631,524,1
20,4509,1559,1
21,4233,1267,1
22,4433,2122,1
23,791,538,1
24,17537,1386,1
25,13593,1467,1
26,9692,1844,1
27,482,2244,1
28,13246,1154,1
29,20241,1923,1
30,4785,2344,1
31,9551,2041,1
32,11045,1642,1
33,18201,2333,1
34,1767,1479,1
35,14804,1965,1
36,5286,1502,1
37,19655,1440,1
38,20694,2325,1
39,7249,1418,1
40,6966,2141,1
41,8871,314,1
42,8535,425,1
43,1254,2107,1
44,10451,1611,1
45,19032,247,1
46,3270,89,1
47,7784,1316,1
48,5578,499,1
49,6289,1629,1
50,4494,1194,1
51,16953,331,1
52,7372,640,1
53,11117,1008,1
54,17199,2202,1
55,4788,1146,1
56,6809,2409,1
57,2439,1397,1
58,19485,2197,1
59,21732,604,1
60,18141,1937,1
61,14756,2230,1
62,246,2220,1
63,1083,318,1
64,13590,247,1
65,15123,1316,1
66,17840,2232,1
67,12701,1108,1
68,1097,710,1
69,18981,89,1
70,10846,786,1
71,22026,2089,1
72,4507,1317,1
73,17303,1950,1
74,16232,1705,1
75,20175,337,1
76,20940,195,1
77,11741,2015,1
78,17163,2210,1
79,16579,1698,1
80,20398,1695,1
81,15248,2095,1
82,17702,1704,1
83,18465,432,1
84,6748,854,1
85,20523,1721,1
86,5900,2417,1
87,21784,236,1
88,16801,726,1
89,7150,397,1
90,18171,1209,1
91,16625,222,1
92,9384,541,1
93,6863,1164,1
94,13768,2093,1
95,17275,1696,1
96,15034,1288,1
97,8619,1335,1
98,11684,34,1
99,17579,1885,1
100,16917,1529,1
101,9579,1935,1
102,8740,837,1
103,3255,1209,1
104,8846,1719,1
105,13805,1652,1
106,18333,2406,1
107,7638,1281,1
108,19120,2483,1
109,5783,863,1
110,17688,92,1
111,11895,865,1
112,14459,348,1
113,11688,740,1
114,9131,484,1
115,6639,1002,1
116,20714,560,1
117,19818,532,1
118,20698,322,1
119,16367,2365,1
120,10693,1427,1
