#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
0,conf/sigmod/AcharyaAFZ95,673141,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",Broadcast Disks: Data Management for Asymmetric Communications Environments,SIGMOD Conference,1995,"Kazutoshi Sumiya, Kouichi Yasutake, Hirohiko Tanaka, Norio Sanada, Yoshihiko Imai",A Product Specification Database for Visual Prototyping,Very Large Data Bases,1995,0
1,conf/sigmod/AcharyaGPR99,304589,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",The Aqua Approximate Query Answering System,SIGMOD Conference,1999,"Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani","World Wide Database-integrating the Web, CORBA and databases",International Conference on Management of Data,1999,0
2,conf/sigmod/AdaliCPS96,233359,"Sibel Adali, Yannis Papakonstantinou, K. Seluk Candan, V. S. Subrahmanian",Query Caching and Optimization in Distributed Mediator Systems,SIGMOD Conference,1996,"Joseph M. Hellerstein, Jeffrey F. Naughton",Query execution techniques for caching expensive methods,International Conference on Management of Data,1996,0
3,conf/sigmod/AggarwalPWYP99,304188,"Joel L. Wolf, Cecilia Magdalena Procopiuc, Jong Soo Park, Charu C. Aggarwal, Philip S. Yu",Fast Algorithms for Projected Clustering,SIGMOD Conference,1999,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu, Cecilia Procopiuc, Jong Soo Park",Fast algorithms for projected clustering,International Conference on Management of Data,1999,1
4,conf/sigmod/AltinelABFSZ99,758373,"Demet Aksoy, Mehmet Altinel, Stanley B. Zdonik, Thomas Baby, William Shapiro, Michael J. Franklin",DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,SIGMOD Conference,1999,"H. V. Jagadish, Nick Koudas, S. Muthukrishnan",Mining Deviants in a Time Series Database,Very Large Data Bases,1999,0
5,conf/sigmod/AntonJLPZZ02,564762,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",Web caching for database applications with Oracle Web Cache,SIGMOD Conference,2002,"Jesse Anton, Lawrence Jacobs, Xiang Liu, Jordan Parker, Zheng Zeng, Tie Zhong",Web caching for database applications with Oracle Web Cache,International Conference on Management of Data,2002,1
6,conf/sigmod/Aulakh98,276367,Kamar Aulakh,About Quark Digital Media System,SIGMOD Conference,1998,Kamar Aulakh,About Quark Digital Media System,International Conference on Management of Data,1998,1
7,conf/sigmod/BarbosaMKL02,564769,"Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons",ToXgene: a template-based data generator for XML,SIGMOD Conference,2002,"Denilson Barbosa, Alberto Mendelzon, John Keenleyside, Kelly Lyons",ToXgene: a template-based data generator for XML,International Conference on Management of Data,2002,1
8,conf/sigmod/BerckenDS00,336562,"Bernhard Seeger, Jens-Peter Dittrich, Jochen Van den Bercken",javax.XXL: A prototype for a Library of Query processing Algorithms,SIGMOD Conference,2000,"Jochen van den Bercken, Jens-Peter Dittrich, Bernhard Seeger",javax.XXL: a prototype for a library of query processing algorithms,International Conference on Management of Data,2000,1
9,conf/sigmod/Bierman03,872792,Gavin M. Bierman,Formal semantics and analysis of object queries,SIGMOD Conference,2003,"Michael Benedikt, Chee-Yong Chan, Wenfei Fan, Juliana Freire, Rajeev Rastogi",Capturing both types and constraints in data integration,International Conference on Management of Data,2003,0
