#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
0,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,673464,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",Aurora: A Data Stream Management System,SIGMOD Conference,2003,"Marisa S. Viveros, John P. Nearhos, Michael J. Rothman",Applying Data Mining Techniques to a Health Insurance Information System,Very Large Data Bases,1996,0
1,conf/sigmod/AboulnagaC99,304198,"Surajit Chaudhuri, Ashraf Aboulnaga",Self-tuning Histograms: Building Histograms Without Looking at Data,SIGMOD Conference,1999,"Ashraf Aboulnaga, Surajit Chaudhuri",Self-tuning histograms: building histograms without looking at data,International Conference on Management of Data,1999,1
2,conf/sigmod/AcharyaGPR99,672356,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",The Aqua Approximate Query Answering System,SIGMOD Conference,1999,"Minos N. Garofalakis, Phillip B. Gibbon",Approximate Query Processing: Taming the TeraBytes,Very Large Data Bases,2001,0
3,conf/sigmod/AggarwalWY99,245887,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu",A New Method for Similarity Indexing of Market Basket Data,SIGMOD Conference,1999,"M. Rafanelli, A. Bezenchek, L. Tininini",The aggregate data problem: a system for their definition and management,ACM SIGMOD Record,1996,0
4,conf/sigmod/AgrawalCFGHIIMMSS94,176573,"Ramakrishnan Srikant, Balakrishna R. Iyer, Christos Faloutsos, Arun N. Swami, H. Miranda, Sakti P. Ghosh, A. Mahboob, Maurice A. W. Houtsma, Michael J. Carey, Tomasz Imielinski, Rakesh Agrawal",Quest: A Project on Database Mining,SIGMOD Conference,1994,"Tak W. Yan, Hctor Garca-Molina",Index structures for selective dissemination of information under the Boolean model,ACM Transactions on Database Systems (TODS),1994,0
5,conf/sigmod/AnkerstBKS99,304195,"Jrg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",OPTICS: Ordering Points To Identify the Clustering Structure,SIGMOD Conference,1999,Christian Hidber,Online association rule mining,International Conference on Management of Data,1999,0
6,conf/sigmod/BenediktCFFR03,373697,"Juliana Freire, Rajeev Rastogi, Michael Benedikt, Wenfei Fan, Chee Yong Chan",Capturing both Types and Constraints in Data Integration,SIGMOD Conference,2003,"Peter Buneman, Wenfei Fan, Jrme Simon, Scott Weinstein",Constraints for semistructured data and XML,ACM SIGMOD Record,2001,0
7,conf/sigmod/BerchtoldK97,253407,"Hans-Peter Kriegel, Stefan Berchtold",S3: Similarity Search in CAD Database Systems,SIGMOD Conference,1997,"Stefan Berchtold, Hans-Peter Kriegel",S3: similarity search in CAD database systems,International Conference on Management of Data,1997,1
8,conf/sigmod/BerensonBGMOO95,223785,"Philip A. Bernstein, Patrick E. O'Neil, Hal Berenson, Elizabeth J. O'Neil, Jim Melton, Jim Gray",A Critique of ANSI SQL Isolation Levels,SIGMOD Conference,1995,"Hal Berenson, Phil Bernstein, Jim Gray, Jim Melton, Elizabeth O'Neil, Patrick O'Neil",A critique of ANSI SQL isolation levels,International Conference on Management of Data,1995,1
9,conf/sigmod/Bernstein96,280348,Philip A. Bernstein,Repository System Engineering,SIGMOD Conference,1996,Pillip A. Bernstein,Repository system engineering,International Conference on Management of Data,1996,1
10,conf/sigmod/Bierman03,872807,Gavin M. Bierman,Formal semantics and analysis of object queries,SIGMOD Conference,2003,G. M. Bierman,Formal semantics and analysis of object queries,International Conference on Management of Data,2003,1
11,conf/sigmod/BilirisFOP96,280362,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",BeSS: Storage Support for Interactive Visualization Systems,SIGMOD Conference,1996,"A. Biliris, T. A. Funkhouser, W. O'Connell, E. Panagos",BeSS: storage support for interactive visualization systems,International Conference on Management of Data,1996,1
12,conf/sigmod/Blakeley96,233329,Jos A. Blakeley,Data Access for the Masses through OLE DB,SIGMOD Conference,1996,Jos A. Blakeley,Data access for the masses through OLE DB,International Conference on Management of Data,1996,1
13,conf/sigmod/BlakeleyP98,276354,"Michael Pizzo, Jos A. Blakeley",Microsoft Universal Data Access Platform,SIGMOD Conference,1998,"Jos A. Blakeley, Michael J. Pizzo",Microsoft universal data access platform,International Conference on Management of Data,1998,1
14,conf/sigmod/BohmBKK01,872828,"Florian Krebs, Christian Bhm, Bernhard Braunmller, Hans-Peter Kriegel",Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,SIGMOD Conference,2001,"Hans-Peter Kriegel, Stefan Brecheisen, Peer Krger, Martin Pfeifle, Matthias Schubert",Using sets of feature vectors for similarity search on voxelized CAD objects,International Conference on Management of Data,2003,0
15,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,615236,"Gale Martin, Ray Shea, Tomasz Ksiezyk, Roberto J. Bayardo Jr., Marian H. Nodine, William Bohrer, Vipul Kashyap, C. Unnikrishnan, Richard S. Brice, Mosfeq Rashid, Amy Unruh, Abdelsalam Helal, Andrzej Cichocki, Marek Rusinkiewicz, Darrell Woelk, Jerry Fowler",InfoSleuth: Semantic Integration of Information in Open and Dynamic Environments (Experience Paper),SIGMOD Conference,1997,"Daniel Barbar, Tomasz Imieliski",Sleepers and workaholics: caching strategies in mobile environments (extended version),The VLDB Journal  The International Journal on Very Large Data Bases,1995,0
16,conf/sigmod/BratsbergT00,335477,"ystein Torbjrnsen, Svein Erik Bratsberg",Tutorial: Designing an Ultra Highly Available DBMS,SIGMOD Conference,2000,"Svein Erik Bratsberg, ystein Torbjrnsen",Designing an ultra highly available DBMS (tutorial session),International Conference on Management of Data,2000,1
17,conf/sigmod/BreunigKKS01,671201,"Jrg Sander, Hans-Peter Kriegel, Peer Krger, Markus M. Breunig",Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,SIGMOD Conference,2001,"Martin Ester, Hans-Peter Kriegel, Jrg Sander, Michael Wimmer, Xiaowei Xu",Incremental Clustering for Mining in a Data Warehousing Environment,Very Large Data Bases,1998,0
18,conf/sigmod/BrinDG95,223855,"Hector Garcia-Molina, Sergey Brin, James Davis",Copy Detection Mechanisms for Digital Documents,SIGMOD Conference,1995,"Sergey Brin, James Davis, Hctor Garca-Molina",Copy detection mechanisms for digital documents,International Conference on Management of Data,1995,1
19,conf/sigmod/BrinMUT97,253325,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman",Dynamic Itemset Counting and Implication Rules for Market Basket Data,SIGMOD Conference,1997,"Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",Dynamic itemset counting and implication rules for market basket data,International Conference on Management of Data,1997,1
20,conf/sigmod/BrodskyK95,223788,"Alexander Brodsky, Yoram Kornatzky",The LyriC Language: Querying Constraint Objects,SIGMOD Conference,1995,"Alexander Brodsky, Yoram Kornatzky",The LyriC language: querying constraint objects,International Conference on Management of Data,1995,1
21,conf/sigmod/BryanMCLG94,673299,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,SIGMOD Conference,1994,"Manish Mehta, David J. DeWitt",Managing Intra-operator Parallelism in Parallel Database Systems,Very Large Data Bases,1995,0
22,conf/sigmod/BunemanDHS96,672010,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",A Query Language and Optimization Techniques for Unstructured Data,SIGMOD Conference,1996,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten",What Happens During a Join? Dissecting CPU and Memory Optimization Effects,Very Large Data Bases,2000,0
23,conf/sigmod/BunemanKTT02,564693,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima",Archiving scientific data,SIGMOD Conference,2002,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",Archiving scientific data,International Conference on Management of Data,2002,0
24,conf/sigmod/BunemanM95,673168,"David Maier, Peter Buneman",The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,SIGMOD Conference,1995,"Janet L. Wiener, Jeffrey F. Naughton",OODB Bulk Loading Revisited: The Partitioned-List Approach,Very Large Data Bases,1995,0
25,conf/sigmod/ButtlerLPP01,375762,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",OminiSearch: A Method for Searching Dynamic Content on the Web,SIGMOD Conference,2001,"David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",OminiSearch: a method for searching dynamic content on the Web,International Conference on Management of Data,2001,1
26,conf/sigmod/CarinoKKB01,375733,"Felipe Cario, Pekka Kostamaa, Art Kaufmann, John Burgess","StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing",SIGMOD Conference,2001,"Felipe Cario, Jr., Pekka Kostamaa, Art Kaufmann, John Burgess","StorHouse metanoia - new applications for database, storage &; data warehousing",International Conference on Management of Data,2001,0
27,conf/sigmod/Chan98,276320,Arvola Chan,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,SIGMOD Conference,1998,"K. V. Ravi Kanth, Divyakant Agrawal, Ambuj Singh",Dimensionality reduction for similarity searching in dynamic databases,International Conference on Management of Data,1998,0
28,conf/sigmod/ChangBCLLS00,335433,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",The Onion Technique: Indexing for Linear Optimization Queries,SIGMOD Conference,2000,"Yuan-Chi Chang, Lawrence Bergman, Vittorio Castelli, Chung-Sheng Li, Ming-Ling Lo, John R. Smith",The onion technique: indexing for linear optimization queries,International Conference on Management of Data,2000,1
29,conf/sigmod/ChenJDTW00,375786,"Yuan Wang, Feng Tian, David J. DeWitt, Jianjun Chen",NiagaraCQ: A Scalable Continuous Query System for Internet Databases,SIGMOD Conference,2000,"Jiawei Han, Hasan Jamil, Ying Lu, Liangyou Chen, Yaqin Liao, Jian Pei",DNA-miner: a system prototype for mining DNA sequences,International Conference on Management of Data,2001,0
30,conf/sigmod/ChristophidesCM96,335395,"Guido Moerkotte, Sophie Cluet, Vassilis Christophides",Evaluating Queries with Generalized Path Expressions,SIGMOD Conference,1996,"Vassilis Christophides, Sophie Cluet, Jrme Simon",On wrapping query languages and efficient XML integration,International Conference on Management of Data,2000,0
31,conf/sigmod/DarEGP98,276391,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",DTL's DataSpot: Database Exploration as Easy as Browsing the Web,SIGMOD Conference,1998,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",DTL's DataSpot: database exploration as easy as browsing the Web...,International Conference on Management of Data,1998,0
32,conf/sigmod/DattaDTVSR02,309870,"Suresha, Kaushik Dutta, Krithi Ramamritham, Anindya Datta, Helen M. Thomas, Debra E. VanderMeer",Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,SIGMOD Conference,2002,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,ACM SIGMOD Record,1999,0
33,conf/sigmod/Deutsch95,223880,Donald R. Deutsch,Objects and SQL: Strange Relations? Panel,SIGMOD Conference,1995,Donald R. Deutsch,Objects and SQL (panel session): strange relations?,International Conference on Management of Data,1995,1
