#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,ltable.author,ltable.pubYear,ltable.publisher,rtable.title,rtable.author,rtable.pubYear,rtable.publisher
0,9780007183456,10082209,Antarctica : Exploring a Fragile Eden,"Scott, Angela Scott, Jonathan",2008.0,HarperCollins Publishers Limited,Antarctica: Exploring a Fragile Eden,"Scott, Jonathan",2008.0,Trafalgar Square
1,9780028348261,5087512,Geometry : Concepts and Applications,McGraw-Hill Staff,2000.0,McGraw-Hill Higher Education,"Geometry: Concepts and Applications, Study Guide Workbook",McGraw-Hill,2000.0,McGraw-Hill/Glencoe
2,9780029066850,1490720,"Measures for Clinical Practice Vol. 1 : Couples, Families, and Children","Fischer, Joel",1994.0,Free Press,"Measures for Clinical Practice: A Sourcebook : Couples, Families, and Children","Fischer, Joel",1994.0,Simon & Schuster
3,9780030402432,12537042,Allez Viens,d'Amado,2005.0,Holt McDougal,Se CD-R(set of 25)Allez Viens LV 2 2006,Damado,2006.0,Houghton Mifflin Harcourt (HMH)
4,9780030513374,5050626,Practical Math : Skills and Concepts,Fredrick,1998.0,Holt McDougal,Practical Mathematics: Skills and Concepts,"Fredrick, Marguerite M.",1998.0,Holt McDougal
5,9780060655808,535599,Harpercollins Study Bible Standard Version with the Apocryphal/Deuterocanonical Books,"Meeks, Wayne A.",1993.0,HarperCollins Publishers,HarperCollins Study Bible-NRSV,"Meeks, Wayne A.",1993.0,Harpercollins
6,9780060837563,3618742,Native Son,"Wright, Richard",2005.0,HarperCollins Publishers,Native Son,"Wright, Richard",2005.0,Harpercollins
7,9780061374050,6000607,Not Quite What I Was Planning : Six-Word Memoirs by Writers Famous and Obscure,"Smith, Larry Fershleiser, Rachel",2008.0,HarperCollins Publishers,Not Quite What I Was Planning: Six-Word Memoirs by Writers Famous and Obscure,"Fershleiser, Rachel",2008.0,Harpercollins
8,9780061490057,17800413,Ascendant,"Peterfreund, Diana",2012.0,HarperCollins Publishers,Ascendant,"Peterfreund, Diana",2012.0,Harpercollins Childrens Books
9,9780061965548,15772172,How Shakespeare Changed Everything,"Marche, Stephen",2012.0,HarperCollins Publishers,How Shakespeare Changed Everything,"Marche, Stephen",2012.0,Harpercollins
10,9780070479081,1566948,Elusive Eden : A New History of California,"Rice, Richard Bullough, Bonnie Bullough, William Orsi, Richard J.",1996.0,McGraw-Hill Higher Education,The Elusive Eden: A New History of California,"Rice, Richard B.",1996.0,McGraw-Hill College
11,9780071451574,4082544,Business Calculus Demystified,"Huettenmueller, Rhonda",2005.0,McGraw-Hill Professional Publishing,Business Calculus Demystified,"Huettenmueller, Rhonda",2005.0,McGraw-Hill
12,9780072860948,4025755,Taking off Beginning English Literacy Workbook,"Hancock Fesler, Susan Newman, Christy",2004.0,McGraw-Hill Higher Education,Taking Off Beginning English Literacy Workbook,,2002.0,McGraw-Hill College
13,9780073380339,5681971,Fundamentals of Digital Logic with Verilog Design,"Vranesic, Zvonko Brown, Stephen",2007.0,McGraw-Hill Higher Education,Fundamentals of Digital Logic with Verilog Design [With CDROM],"Brown, Stephen",2007.0,McGraw-Hill Science/Engineering/Math
14,9780077217181,7807428,Art of Public Speaking,"Lucas, Stephen",2007.0,"McGraw-Hill Companies, The",The Art of Public Speaking [With Booklet],"Lucas, Stephen E.",2007.0,McGraw-Hill College
15,9780077864262,22922094,Gen cmb alt ed econ; Cnct+ac,"Flynn, Sean Brue, Stanley McConnell, Campbell",,McGraw-Hill Higher Education,Economics Alternate Edition + Connect Plus,"McConnell, Campbell",2011.0,Irwin/McGraw-Hill
16,9780077905972,15912308,Combo: Loose Leaf Version of Anatomy & Physiology: the Unity of Form and Function with Connect Plus/LearnSmart 2 Semester Access Card,"Saladin, Kenneth",,McGraw-Hill Higher Education,Combo: Loose Leaf Version of Anatomy & Physiology: The Unity of Form and Function with Connect Plus 2 Semester Access Card (Includes Apr & Phils Onlin,"Saladin, Kenneth",2010.0,McGraw-Hill Science/Engineering/Math
17,9780080446837,4564015,Vintage Papers from the Lancet,,2006.0,Elsevier - Health Sciences Division,Vintage Papers from the Lancet,"Richardson, Ruth",2005.0,Elsevier Science Health Science div
18,9780114958367,5514791,Conserving Bogs : The Management Handbook,TSO Staff,1997.0,"Stationery Office, The",Conserving Bogs: The Management Handbook,"Stoneman, Rob ",1996.0,Bernan Assoc
19,9780130901262,1386538,Adaptive Filter Theory,"Haykin, Simon",2001.0,Prentice Hall PTR,Adaptive Filter Theory,"Haykin, Simon S.",2001.0,Prentice Hall
20,9780131077744,10948704,Coll Acctg 1-26 and Sg and Wp and Pchtr and Pch8 0 and Tut and E,"Slater, Jeffrey",2003.0,Prentice Hall Higher Education,Coll Acctg 1-26& Sg& Wp& Pchtr& Pch8.0& Tut& Ebiz,,2003.0,Addison Wesley Longman
21,9780135285718,522144,Learning American Sign Language,"Humphries, Tom L. Padden, Carol A.",1992.0,"Allyn & Bacon, Incorporated",Learning American Sign Language,"Humphries, Tom",1992.0,Prentice Hall
22,9780140447040,515921,Sixteen Satires,Juvenal,1999.0,Penguin Group (USA) Incorporated,Sixteen Satires: Revised Edition,"Juvenal, Decimus Junius Juvenalis",1999.0,Penguin Group USA
23,9780142412145,10083762,Let It Snow : Three Holiday Romances,"Myracle, Lauren Green, John Johnson, Maureen",2008.0,Penguin Group (USA) Incorporated,Let It Snow: Three Holiday Romances,"Green, John",2008.0,Penguin Group USA
24,9780152062279,7809485,Love among the Walnuts,"Ferris, Jean",2008.0,Houghton Mifflin Harcourt Publishing Company,Love Among the Walnuts,"Ferris, Jean",2008.0,Houghton Mifflin Harcourt
25,9780153234514,10865895,Seventh Grade Penny Drive On Level,Harcourt School Publishers Staff,2002.0,Harcourt School Publishers,Harcourt School Publishers Trophies: On-LVL: Seventh Gr Penny Drve G6 Seventh Gr Penny Drve,HSP,2002.0,Harcourt School Publishers
26,9780160879098,16284366,"Congressional Record, V. 153, Pt. 20, October 17, 2007 to October 30 2007",,2011.0,United States Government Printing Office,"Congressional Record (Bound Volumes): Volume 153, Part 20",U S Congress,2011.0,Congress
