#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,rtable.title,ltable.authors,rtable.authors,ltable.venue,rtable.venue,ltable.year,rtable.year,gold
0,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,673464,Aurora: A Data Stream Management System,Applying Data Mining Techniques to a Health Insurance Information System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun","Marisa S. Viveros, John P. Nearhos, Michael J. Rothman",SIGMOD Conference,Very Large Data Bases,2003,1996,0
1,conf/sigmod/AboulnagaC99,304198,Self-tuning Histograms: Building Histograms Without Looking at Data,Self-tuning histograms: building histograms without looking at data,"Surajit Chaudhuri, Ashraf Aboulnaga","Ashraf Aboulnaga, Surajit Chaudhuri",SIGMOD Conference,International Conference on Management of Data,1999,1999,1
2,conf/sigmod/AcharyaGPR99,672356,The Aqua Approximate Query Answering System,Approximate Query Processing: Taming the TeraBytes,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala","Minos N. Garofalakis, Phillip B. Gibbon",SIGMOD Conference,Very Large Data Bases,1999,2001,0
3,conf/sigmod/AggarwalWY99,245887,A New Method for Similarity Indexing of Market Basket Data,The aggregate data problem: a system for their definition and management,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu","M. Rafanelli, A. Bezenchek, L. Tininini",SIGMOD Conference,ACM SIGMOD Record,1999,1996,0
4,conf/sigmod/AgrawalCFGHIIMMSS94,176573,Quest: A Project on Database Mining,Index structures for selective dissemination of information under the Boolean model,"Ramakrishnan Srikant, Balakrishna R. Iyer, Christos Faloutsos, Arun N. Swami, H. Miranda, Sakti P. Ghosh, A. Mahboob, Maurice A. W. Houtsma, Michael J. Carey, Tomasz Imielinski, Rakesh Agrawal","Tak W. Yan, Hctor Garca-Molina",SIGMOD Conference,ACM Transactions on Database Systems (TODS),1994,1994,0
5,conf/sigmod/AnkerstBKS99,304195,OPTICS: Ordering Points To Identify the Clustering Structure,Online association rule mining,"Jrg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",Christian Hidber,SIGMOD Conference,International Conference on Management of Data,1999,1999,0
6,conf/sigmod/BenediktCFFR03,373697,Capturing both Types and Constraints in Data Integration,Constraints for semistructured data and XML,"Juliana Freire, Rajeev Rastogi, Michael Benedikt, Wenfei Fan, Chee Yong Chan","Peter Buneman, Wenfei Fan, Jrme Simon, Scott Weinstein",SIGMOD Conference,ACM SIGMOD Record,2003,2001,0
7,conf/sigmod/BerchtoldK97,253407,S3: Similarity Search in CAD Database Systems,S3: similarity search in CAD database systems,"Hans-Peter Kriegel, Stefan Berchtold","Stefan Berchtold, Hans-Peter Kriegel",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
8,conf/sigmod/BerensonBGMOO95,223785,A Critique of ANSI SQL Isolation Levels,A critique of ANSI SQL isolation levels,"Philip A. Bernstein, Patrick E. O'Neil, Hal Berenson, Elizabeth J. O'Neil, Jim Melton, Jim Gray","Hal Berenson, Phil Bernstein, Jim Gray, Jim Melton, Elizabeth O'Neil, Patrick O'Neil",SIGMOD Conference,International Conference on Management of Data,1995,1995,1
9,conf/sigmod/Bernstein96,280348,Repository System Engineeringg,Repository system engineering,Philip A. Bernstein,Pillip A. Bernstein,SIGMOD Conference,International Conference on Management of Data,1996,1996,1
10,conf/sigmod/Bierman03,872807,Formal semantics and analysis of object queries,Formal semantics and analysis of object queries,Gavin M. Bierman,G. M. Bierman,SIGMOD Conference,International Conference on Management of Data,2003,2003,1
11,conf/sigmod/BilirisFOP96,280362,BeSS: Storage Support for Interactive Visualization Systems,BeSS: storage support for interactive visualization systems,"William O'Connell, Thomas A. Funkhouser, A Biliris, Euthimios Panagos","A. Biliris, T. A. Funkhouser, W. O'Connell, E. Panagos",SIGMOD Conference,International Conference on Management of Data,1996,1996,1
12,conf/sigmod/Blakeley96,233329,Data Access the Masses through OLE DB,Data access for the masses through OLE DB,Jos A. Blakeley,Jos A. Blakeley,SIGMOD Conference,International Conference on Management of Data,1996,1996,1
13,conf/sigmod/BlakeleyP98,276354,Microsoft Universal Data  Platform,Microsoft universal data access platform,"Michael Pizzo, Jos A. Blakeley","Jos A. Blakeley, Michael J. Pizzo",,International Conference on Management of Data,1998,1998,1
