#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,ltable.author,ltable.pubYear,ltable.publisher,rtable.title,rtable.author,rtable.pubYear,rtable.publisher,gold_label
2,12537042,9780030402432,Se CD-R(set of 25)Allez Viens LV 2 2006,Damado,2006.0,Houghton Mifflin Harcourt (HMH),Allez Viens,d'Amado,2005.0,Holt McDougal,0
3,1386538,9780130901262,Adaptive Filter Theory,"Haykin, Simon S.",2001.0,Prentice Hall,Adaptive Filter Theory,"Haykin, Simon",2001.0,Prentice Hall PTR,0
4,13945932,9780205700424,An Introduction to Theories of Learning [With Access Code],"Olson, Matthew",2009.0,Prentice Hall,Introduction to the Theories of Learning- (Value Pack W/MySearchLab),"Olson, Matthew H. Hergenhahn, B. R.",2009.0,Prentice Hall PTR,0
5,15280600,9780217455008,"Catalogue of Earthquakes on the Pacific Coast, 1897 to 1906 (49, Nos. 1-5)","McAdie, Alexander",2010.0,General Books,"Catalogue of Earthquakes on the Pacific Coast, 1897 To 1906","Mcadie, Alexander",2009.0,General Books,0
6,15286798,9780217825382,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2012.0,General Books,"Cured by an Incurable, by Crowquill and Pencilpoint","Pseud, Crowquill",2009.0,General Books,0
7,15295588,9780217940207,"The Daring Adventures of Kit Carson and Fremont; Among Buffaloes, Grizzlies and Indians Being a Spirited Diary of the Most Difficult and Wonderful Exp","Frmont, John Charles",2012.0,Rarebooksclub.com,Daring Adventures of Kit Carson and Fremont,"Frmont, John Charles",2009.0,General Books,0
8,15334872,9780217270052,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2010.0,General Books,"Personal Efficiency, Applied Salesmanship, and Sales Administration","Allen, Irving Ross",2009.0,General Books,0
10,1566948,9780070479081,The Elusive Eden: A New History of California,"Rice, Richard B.",1996.0,McGraw-Hill College,Elusive Eden : A New History of California,"Rice, Richard Bullough, Bonnie Bullough, William Orsi, Richard J.",1996.0,McGraw-Hill Higher Education,0
11,4025755,9780072860948,Taking Off Beginning English Literacy Workbook,,2002.0,McGraw-Hill College,Taking off Beginning English Literacy Workbook,"Hancock Fesler, Susan Newman, Christy",2004.0,McGraw-Hill Higher Education,0
12,4564015,9780080446837,Vintage Papers from the Lancet,"Richardson, Ruth",2005.0,Elsevier Science Health Science div,Vintage Papers from the Lancet,,2006.0,Elsevier - Health Sciences Division,0
13,5050626,9780030513374,Practical Mathematics: Skills and Concepts,"Fredrick, Marguerite M.",1998.0,Holt McDougal,Practical Math : Skills and Concepts,Fredrick,1998.0,Holt McDougal,0
