_id,idDBLP,idACM
1,conf/sigmod/ChaudhuriDN01,375694
8,conf/sigmod/DattaDRTV01,375780
23,conf/sigmod/LahiriG01,375751
28,conf/sigmod/AfratiLU01,375705
37,conf/sigmod/GoldsteinL01,375706
50,conf/sigmod/ChenGK01,375692
59,conf/sigmod/CarinoKKB01,375733
63,conf/sigmod/GunopulosD01,375808
80,conf/sigmod/NguyenACP01,375723
97,conf/sigmod/RamaswamyRS00,335437
106,conf/sigmod/Jhingran00,335469
114,conf/sigmod/HanPY00,335372
115,conf/sigmod/RiedelFGN00,335375
118,conf/sigmod/BreunigKNS00,335388
120,conf/sigmod/SalemBCL00,335393
122,conf/sigmod/LiefkeS00,335405
127,conf/sigmod/LeeKOTM00,335416
132,conf/sigmod/LabrinidisR00,335430
133,conf/sigmod/ChenJDTW00,335432
137,conf/sigmod/RaoR00,335449
142,conf/sigmod/OrdonezC00,335468
144,conf/sigmod/Nori00,335474
161,conf/sigmod/AggarwalPWYP99,304188
165,conf/sigmod/GehrkeGRL99,304197
172,conf/sigmod/KotidisR99,304215
180,conf/sigmod/HinneburgK99,304232
182,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99,304239
186,conf/sigmod/LiuHBPT99,304570
192,conf/sigmod/CruzJ99,304587
206,conf/sigmod/ChaudhuriMN99,304206
239,conf/sigmod/VossenW99,304586
281,conf/sigmod/TsurUACMNR98,276306
300,conf/sigmod/ChaudhuriMN98,276343
324,conf/sigmod/ZaianeHLCC98,276388
335,conf/sigmod/KornJF97,253332
359,conf/sigmod/CareyK97,253302
361,conf/sigmod/HanKK97,253330
365,conf/sigmod/ShivakumarG97,253349
367,conf/sigmod/ColbyKLMR97,253353
384,conf/sigmod/FernandezFKLS97,253403
399,conf/sigmod/KrishnanVI96,233341
402,conf/sigmod/SeshadriHPLRSSS96,233360
406,conf/sigmod/BunemanDHS96,233368
408,conf/sigmod/Keim96,280349
424,conf/sigmod/FranklinJK96,233328
435,conf/sigmod/GarofalakisI96,233352
504,conf/sigmod/Gray95,223864
510,conf/sigmod/Bampahl95,223870
526,conf/sigmod/ThomasDM95,223892
537,conf/sigmod/HuangSW94,191845
544,conf/sigmod/ChenR94,191874
550,conf/sigmod/CareyFZ94,191911
558,conf/sigmod/Mohan94,191990
564,conf/sigmod/MumickP94,191860
566,conf/sigmod/IoannidisL94,191870
581,conf/sigmod/WhiteD94,191919
582,conf/sigmod/McIverK94,191924
599,conf/sigmod/BryanMCLG94,191955
604,conf/sigmod/SagonasSW94a,191970
617,conf/sigmod/MiloAABN03,872793
656,conf/sigmod/ZhuS03,872780
658,conf/sigmod/KangN03,872783
663,conf/sigmod/KementsietsidisAM03,872798
665,conf/sigmod/GuptaS03,872809
666,conf/sigmod/PengC03,872810
673,conf/sigmod/GotoK03,872837
677,conf/sigmod/LarsonG03,872848
688,conf/sigmod/SengarH03,872867
697,conf/sigmod/OlstonW02,564701
704,conf/sigmod/BrunoC02,564722
711,conf/sigmod/ThaperGIK02,564741
715,conf/sigmod/BhattacharyaMBNHS02,564749
742,conf/sigmod/TatarinovVBSSZ02,564715
744,conf/sigmod/DasuJMS02,564719
750,conf/sigmod/PolyzotisG02,564733
767,conf/sigmod/CrescenziMM02,564778
770,conf/sigmod/RundensteinerWYD02,564786
771,conf/sigmod/Cotton02,564792
774,conf/sigmod/Bussler02,564801
781,journals/sigmod/AilamakiFFSV03,959069
782,journals/sigmod/KannanKIK03,959071
788,journals/sigmod/ChengP03,959068
802,journals/sigmod/AilamakiH03,945725
948,journals/sigmod/RashidS00,369281
951,journals/sigmod/Jhingran00,369287
976,journals/sigmod/Etzion99,344820
994,journals/sigmod/SouzaS99,310063
1007,journals/sigmod/EisenbergM99,310075
1014,journals/sigmod/Domingo-FerrerH98,306129
1061,journals/sigmod/HadzilacosT97,262766
1073,journals/sigmod/ChaudhuriD97,248616
1080,journals/sigmod/DoanPSB97,248617
1085,journals/sigmod/HasanMV96,245900
1102,journals/sigmod/ACT-NET96,234896
1125,journals/sigmod/FreemanG96,381893
1131,journals/sigmod/BhargavaAP95,219746
1145,journals/sigmod/Finkelstein95,219777
1170,journals/sigmod/DogacAOD95,202662
1171,journals/sigmod/KarlapalemLS95,202663
1186,journals/sigmod/BarclayBGS94,190647
1207,journals/sigmod/Loeffen94,181565
1213,journals/tods/ChoG03,958945
1223,journals/tods/BeneventanoBS03,762472
1225,journals/tods/MelnikG03,762474
1228,journals/tods/FernandezKSMT02,582413
1229,journals/tods/CaldersNW02,581752
1234,journals/tods/Suciu02,507235
1242,journals/tods/HsuSY01,383737
1257,journals/tods/WandSW99,331989
1282,journals/tods/ZaharioudakisCF97,278249
1289,journals/tods/CliffordDIJS97,249980
1291,journals/tods/PetersO97,244813
1310,journals/tods/Chen95a,211416
1316,journals/tods/AikenHW95,202107
1317,journals/tods/Chen95,202110
1342,journals/tods/Snodgrass01,505049
1360,conf/vldb/ChienTZ01,672373
1367,conf/vldb/BerckenS01,672197
1368,conf/vldb/Kotidis01,672183
1376,conf/vldb/AboulnagaAN01,672034
1381,conf/vldb/Shmueli01,672369
1406,conf/vldb/CasatiDGS01,672190
1413,conf/vldb/MargaritisFT01,758382
1428,conf/vldb/Duranti01,672214
1440,conf/vldb/AnciauxBBPV01,758381
1447,conf/vldb/PereiraFJLS01,672195
1450,conf/vldb/ChoenniV00,672008
1457,conf/vldb/YagoubFIV00,672020
1470,conf/vldb/PappasC00,671850
1497,conf/vldb/MendelzonV00,672006
1499,conf/vldb/RamsakMFZEB00,671872
1513,conf/vldb/JarkeKL00,671688
1516,conf/vldb/DiligentiCLGG00,671854
1526,conf/vldb/LudasaherGM00,671864
1532,conf/vldb/Brodie00,671680
1536,conf/vldb/CasatiS00,671694
1538,conf/vldb/Bowker00,671871
1545,conf/vldb/BonczMK99,671364
1549,conf/vldb/PacittMS99,671521
1554,conf/vldb/KnorrN99,671529
1555,conf/vldb/JermaineDO99,671517
1566,conf/vldb/RothOH99,671494
1567,conf/vldb/CarinoOBS99,671525
1571,conf/vldb/PedersenJD99,671491
1595,conf/vldb/HaasKU99,671671
1608,conf/vldb/FuhDCMTLDRM99,671520
1609,conf/vldb/HoskingC99,671503
1615,conf/vldb/ZirintsisKM99,758374
1624,conf/vldb/Ganguly98,671329
1635,conf/vldb/ZhangL98,671332
1648,conf/vldb/George98,671032
1675,conf/vldb/SheikholeslamiCZ98,671342
1687,conf/vldb/DoDJJR98,671165
1697,conf/vldb/RoussopoulosK98,671180
1706,conf/vldb/YangKL97,673657
1711,conf/vldb/HumborstadSHT97,671000
1748,conf/vldb/AtzeniMM97,671014
1755,conf/vldb/GarofalakisI97,671004
1769,conf/vldb/FaloutsosG96,673487
1780,conf/vldb/AcharyaFZ96,673323
1787,conf/vldb/Klots96,673483
1795,conf/vldb/BerchtoldKK96,673502
1832,conf/vldb/Celis96,673471
1836,conf/vldb/Sacks-Davis96,673486
1839,conf/vldb/GuptaM96,673482
1849,conf/vldb/BargaP95,673298
1850,conf/vldb/SteinbrunnPMK95,673167
1865,conf/vldb/DidriksenGD95,673313
1879,conf/vldb/GoyalHSS95,673147
1884,conf/vldb/LuTD95,673139
1886,conf/vldb/MoserKK95,673149
1890,conf/vldb/MehtaD95,673299
1915,conf/vldb/WienerN94,672979
1920,conf/vldb/FrohnLU94,672988
1967,conf/vldb/MatthesS94,672986
1980,conf/vldb/Bernstein94,672999
1982,journals/vldb/GrefenVA01,767153
