Product_id,Brand,Title,Brand Title,Price,Size,Reviews,Stars,Category,Colors,string_size
1,NARS,light reflecting pressed setting powder,NARS light reflecting pressed setting powder,$36.00,,530 reviews,4,Makeup>Face Makeup>Face Powder>,Translucent Crystal,6
2,Herbivore,coco rose coconut oil lip polish,Herbivore coco rose coconut oil lip polish,$18.00,0.17 oz,not rated,0,Skin Care>Lip Balm & Treatments>,,7
3,Anastasia Beverly Hills,brow gel,Anastasia Beverly Hills brow gel,$22.00,0.28 oz,2035 reviews,4.4639,Makeup>Eye Makeup>Eyebrows>,Clear,5
4,Benefit Cosmetics,theyre real push up liner,Benefit Cosmetics theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Blue,7
5,Benefit Cosmetics,theyre real push up liner,Benefit Cosmetics theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Brown,7
6,Benefit Cosmetics,theyre real push up liner,Benefit Cosmetics theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Green,7
7,Benefit Cosmetics,theyre real push up liner,Benefit Cosmetics theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Purple,7
8,Benefit Cosmetics,theyre real push up liner,Benefit Cosmetics theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Black,7
9,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4--06,9
10,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4-01,9
11,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4-05,9
12,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4-07,9
13,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4-09,9
14,Estee Lauder,pure color envy sculpting eyeshadow 5 color palette,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4-10,9
15,Tata Harper,volumizing lip cheek tint,Tata Harper volumizing lip cheek tint,$35.00,0.15 oz,4 reviews,4.5,Makeup>Lips>Lip Stain>,Very Charming,6
