ID,Category,AboutProduct,Price,Reviews,Color,ProdTitle,Stars,Size
AM0001,Beauty,"NARS Light Reflecting Pressed Setting Powder Translucent Crystal,Full Size 100% Authentic,Order ships internationally from Bangkok, Thailand,Delivery takes 2-3 weeks.",$45.35 ,,,NARS Light Reflecting Pressed Setting Powder Translucent Crystal Authentic,,
AM0002,"Health & Personal Care,Health & Personal Care","Coco Rose Lip Polish Combines Hydrating Organic Virgin Coconut Oil, Raw Sugar, & Bulgarian Rose Absolute In This All Natural, Gently Exfoliating & Polishing Treatment For Softening And Smoothing Lips,No Artificial Ingredients, Fillers, Parabens, Alcohol, Animal Ingredients, Fragrances, Sulfates, Artificial Colors, Or Unnatural Preservatives,Made In Small Batches In The USA,0.17 oz / 4.8 g jar",$22.00 ,,,Herbivore Botanicals - Natural Coco Rose Lip Polish,," 0.3 ounces , 0.3 ounces "
AM0003,Beauty,"An invisible loose setting powder,Features a silky weightless texture for even application & easy blending",$54.90 ,25 customer reviews,,NARS Light Reflecting Loose Setting Powder,4.5 out of 5 stars, 2.4 ounces 
AM0004,,NARS Light Reflecting Pressed Setting Powder Translucent Crystal,$59.95 ,,,NARS Light Reflecting Pressed Powder,,
AM0005,Beauty,NARS - Powder - Light Reflecting Pressed Setting Powder -Light Reflecting Pressed Setting Powder - Translucent 7g/0.24oz NARS,$45.00 ,12 customer reviews,,NARS Light Reflecting Pressed Powder,3.9 out of 5 stars, 1.6 ounces 
AM0006,Beauty,"NARS LIGHT REFLECTING PRESSED SETTING POWDER,TRANSLUCENT CRYSTAL,A weightless, translucent powder for all skintones that creates a soft matte finish that looks luminous in any light.",$39.99 ,5 customer reviews,,NARS Light Reflecting Pressed Setting Powder Translucent Crystal,4.5 out of 5 stars, 4 ounces 
AM0007,Beauty,"Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (1 pc),- color choices: brown,blue,purple,green,- 91% said it was long-wearing,- 88% said it hugged the lashline,- 84% said eyes looked visibly larger",$34.00 ,1 customer review,"Beyond Brown,Beyond Brown,Beyond Brown",Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),5.0 out of 5 stars, 0.3 ounces 
AM0008,Beauty,"Benefit They're Real! Beyond Mascara (1 pc) Color choices: brown or blue,94% saw DRAMATIC length & volume,90% saw base-to-tip curl,94% saw visable lift,100% saw long-wearing results!",$29.78 ,1 customer review,"Beyond Blue,Beyond Blue,Beyond Blue",Benefit They're Real! Beyond Mascara (Beyond Blue),5.0 out of 5 stars, 3.2 pounds 
AM0009,Beauty,"100% Authentic,1.3g - 0.04 oz",$14.01 ,,,Benefit Cosmetics They're Real Push-Up Liner - Beyond Blue - 100% Authentic,, 17 pounds 
AM0010,Beauty,"They're real! push-up liner (mini),They're real! mascara in Beyond Brown, Jet Black (mini),They're real! remover (mini),Tips and Tricks",$48.95 ,,,Benefit Cosmetics They're Real! Sexy On The Run Kit,, 2.6 ounces 
AM0011,Beauty,"Benefit They're Real! Beyond Mascara (1 pc) Color choices: brown or blue,94% saw DRAMATIC length & volume,90% saw base-to-tip curl,94% saw visable lift,100% saw long-wearing results!",$33.25 ,1 customer review,"Beyond Brown,Beyond Brown,Beyond Brown",Benefit They're Real! Beyond Mascara (Beyond Brown),5.0 out of 5 stars,
AM0012,Beauty,,$14.01 ,,,Benefit Cosmetics They're Real Push-Up Liner - Beyond Purple - 100% Authentic,, 17 pounds 
AM0013,Beauty,"Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (1 pc),- color choices: brown,blue,purple,green,- 91% said it was long-wearing,- 88% said it hugged the lashline,- 84% said eyes looked visibly larger",$34.00 ,1 customer review,"Beyond Brown,Beyond Brown,Beyond Brown",Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),5.0 out of 5 stars, 0.3 ounces 
AM0014,Beauty,"Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (1 pc),- color choices: brown,blue,purple,green,- 91% said it was long-wearing,- 88% said it hugged the lashline,- 84% said eyes looked visibly larger",$34.00 ,1 customer review,"Beyond Brown,Beyond Brown,Beyond Brown",Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),5.0 out of 5 stars, 0.3 ounces 
AM0015,Beauty,"Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (1 pc),- color choices: brown,blue,purple,green,- 91% said it was long-wearing,- 88% said it hugged the lashline,- 84% said eyes looked visibly larger",$34.00 ,1 customer review,"Beyond Brown,Beyond Brown,Beyond Brown",Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),5.0 out of 5 stars, 0.3 ounces 
AM0016,Beauty,"Benefit They're Real! Beyond Mascara (1 pc) Color choices: brown or blue,94% saw DRAMATIC length & volume,90% saw base-to-tip curl,94% saw visable lift,100% saw long-wearing results!",$29.78 ,1 customer review,"Beyond Blue,Beyond Blue,Beyond Blue",Benefit They're Real! Beyond Mascara (Beyond Blue),5.0 out of 5 stars, 3.2 pounds 
AM0017,Beauty,"Benefit They're Real! Beyond Mascara (1 pc) Color choices: brown or blue,94% saw DRAMATIC length & volume,90% saw base-to-tip curl,94% saw visable lift,100% saw long-wearing results!",$29.78 ,1 customer review,"Beyond Blue,Beyond Blue,Beyond Blue",Benefit They're Real! Beyond Mascara (Beyond Blue),5.0 out of 5 stars, 3.2 pounds 
AM0018,Beauty,"91% said it was longwearing,81% said it was waterproof,88% said it hugged the lashline,84% said eyes looked visibly larger",$11.99 ,74 customer reviews,,Benefit They're Real! Push-Up Liner Deluxe Mini .36g,3.1 out of 5 stars, 0.3 ounces 
AM0019,Beauty,"Benefit Cosmetics They're Real Push-Up Liner in Brown. Lash-hugging gel liner pen. Travel size 0.01 oz,Matte Gel formula is smudgeproof,Brand new shade: BROWN",$8.95 ,3 customer reviews,,Benefit Cosmetics They're Real Push-Up Liner in BROWN 0.01 oz MINI,3.0 out of 5 stars, 0.3 ounces 
