ID,title,year,director,writer,actor
000001, The Martian, 2015, Ridley Scott, Drew Goddard; Andy Weir, Matt Damon; Jessica Chastain; Kristen Wiig
000002, The Green Inferno, 2013, Eli Roth, Guillermo Amoedo; Eli Roth, Lorenza Izzo; Ariel Levy; Aaron Burns
000003, Everest, 2015, Baltasar Kormákur, William Nicholson; Simon Beaufoy, Jason Clarke; Ang Phula Sherpa; Thomas M. Wright
000004, Sicario, 2015, Denis Villeneuve, Taylor Sheridan, Emily Blunt; Josh Brolin; Benicio Del Toro
000005, The Intern(I), 2015, Nancy Meyers, Nancy Meyers, Robert De Niro; Anne Hathaway; Rene Russo
000006, Black Mass(I), 2015, Scott Cooper, Mark Mallouk; Jez Butterworth, Johnny Depp; Benedict Cumberbatch; Dakota Johnson
000007, Hotel Transylvania 2, 2015, Genndy Tartakovsky, Robert Smigel; Adam Sandler, Adam Sandler; Andy Samberg; Selena Gomez
000008, Maze Runner: The Scorch Trials, 2015, Wes Ball, T.S. Nowlin; James Dashner, Dylan O'Brien; Kaya Scodelario; Thomas Brodie-Sangster
000009, The Visit(I), 2015, M. Night Shyamalan, M. Night Shyamalan, Olivia DeJonge; Ed Oxenbould; Deanna Dunagan
000010, Spectre, 2015, Sam Mendes, John Logan; Neal Purvis, Daniel Craig; Christoph Waltz; Ralph Fiennes
000011, Mad Max: Fury Road, 2015, George Miller, George Miller; Brendan McCarthy, Tom Hardy; Charlize Theron; Nicholas Hoult
000012, The Walk(II), 2015, Robert Zemeckis, Robert Zemeckis; Christopher Browne, Joseph Gordon-Levitt; Charlotte Le Bon; Guillaume Baillargeon
000013, The Revenant, 2015, Alejandro González Iñárritu, Alejandro González Iñárritu; Michael Punke, Tom Hardy; Leonardo DiCaprio; Will Poulter
000014, Tomorrowland, 2015, Brad Bird, Damon Lindelof; Brad Bird, George Clooney; Britt Robertson; Hugh Laurie
000015, Star Wars: Episode VII - The Force Awakens, 2015, J.J. Abrams, J.J. Abrams; Lawrence Kasdan, Harrison Ford; Mark Hamill; Carrie Fisher
000016, Terminator Genisys, 2015, Alan Taylor, Laeta Kalogridis; Patrick Lussier, Arnold Schwarzenegger; Jason Clarke; Emilia Clarke
000017, Avengers: Age of Ultron, 2015, Joss Whedon, Joss Whedon; Stan Lee, Robert Downey Jr.; Chris Evans; Mark Ruffalo
000018, San Andreas, 2015, Brad Peyton, Carlton Cuse; Andre Fabrizio, Dwayne Johnson; Carla Gugino; Alexandra Daddario
000019, Pan, 2015, Joe Wright, Jason Fuchs; J.M. Barrie, Levi Miller; Hugh Jackman; Garrett Hedlund
000020, Jurassic World, 2015, Colin Trevorrow, Rick Jaffa; Amanda Silver, Chris Pratt; Bryce Dallas Howard; Ty Simpkins
000021, Crimson Peak, 2015, Guillermo del Toro, Guillermo del Toro; Matthew Robbins, Mia Wasikowska; Jessica Chastain; Tom Hiddleston
000022, The Big Short, 2015, Adam McKay, Michael Lewis; Adam McKay, Brad Pitt; Christian Bale; Karen Gillan
000023, Mission: Impossible - Rogue Nation, 2015, Christopher McQuarrie, Christopher McQuarrie; Christopher McQuarrie, Tom Cruise; Rebecca Ferguson; Jeremy Renner
000024, Inside Out(I), 2015, Pete Docter; Ronnie Del Carmen, Pete Docter; Ronnie Del Carmen, Amy Poehler; Bill Hader; Lewis Black
000025, Shingeki no kyojin, 2015, Shinji Higuchi, Hajime Isayama; Yûsuke Watanabe, Haruma Miura; Kiko Mizuhara; Kanata Hongô
000026, Pitch Perfect 2, 2015, Elizabeth Banks, Kay Cannon; Mickey Rapkin, Anna Kendrick; Rebel Wilson; Hailee Steinfeld
000027, Macbeth(I), 2015, Justin Kurzel, Jacob Koskoff; Michael Lesslie, Marion Cotillard; Michael Fassbender; Elizabeth Debicki
000028, Batman v Superman: Dawn of Justice, 2016, Zack Snyder, Chris Terrio; David S. Goyer, Ben Affleck; Henry Cavill; Amy Adams
000029, Interstellar, 2014, Christopher Nolan, Jonathan Nolan; Christopher Nolan, Matthew McConaughey; Anne Hathaway; Jessica Chastain
000030, Spy, 2015, Paul Feig, Paul Feig, Melissa McCarthy; Rose Byrne; Jude Law
000031, Straight Outta Compton, 2015, F. Gary Gray, Jonathan Herman; Andrea Berloff, O'Shea Jackson Jr.; Corey Hawkins; Jason Mitchell
000032, Me and Earl and the Dying Girl, 2015, Alfonso Gomez-Rejon, Jesse Andrews; Jesse Andrews, Thomas Mann; RJ Cyler; Olivia Cooke
000033, Pixels, 2015, Chris Columbus, Tim Herlihy; Timothy Dowling, Adam Sandler; Kevin James; Michelle Monaghan
