#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,director_director_jac_qgm_3_qgm_3,director_director_cos_dlm_dc0_dlm_dc0,director_director_jac_dlm_dc0_dlm_dc0,director_director_mel,director_director_lev,director_director_nmw,director_director_sw,director_director_swg,gold_label
94.0,488.0,1108.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
350.0,2594.0,2403.0,0.15,0.5,0.333333333333,0.416666666667,0.357142857143,0.642857134342,0.416666656733,0.416666656733,0.0
42.0,223.0,316.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
387.0,2940.0,2108.0,0.941176470588,1.0,1.0,1.0,0.947368421053,1.0,1.0,1.0,1.0
91.0,479.0,510.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,0.0
391.0,2965.0,1391.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
128.0,725.0,654.0,0.923076923077,1.0,1.0,1.0,0.933333333333,1.0,1.0,1.0,1.0
368.0,2792.0,1809.0,0.941176470588,1.0,1.0,1.0,0.947368421053,1.0,1.0,1.0,1.0
371.0,2806.0,1438.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
358.0,2646.0,623.0,0.190476190476,0.5,0.333333333333,0.492307692308,0.5,0.66666662693,0.461538463831,0.492307692766,0.0
147.0,796.0,1673.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
196.0,1141.0,153.0,0.2,0.408248275518,0.25,0.545454545455,0.411764705882,0.5625,0.54545456171,0.54545456171,0.0
152.0,828.0,1626.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
272.0,1831.0,759.0,0.923076923077,1.0,1.0,1.0,0.933333333333,1.0,1.0,1.0,1.0
245.0,1563.0,2909.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
344.0,2527.0,1944.0,0.25,0.408248275518,0.25,0.444444444444,0.15,0.524999976158,0.444444447756,0.444444447756,0.0
176.0,964.0,1348.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
23.0,109.0,27.0,0.793103448276,0.577350258827,0.4,0.962962962963,0.931034482759,0.964285731316,0.981481492519,0.962962985039,1.0
53.0,263.0,1802.0,1.0,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,0.0
206.0,1226.0,655.0,0.9375,1.0,1.0,1.0,0.944444444444,1.0,1.0,1.0,1.0
47.0,237.0,147.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
65.0,326.0,857.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
349.0,2590.0,1302.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
195.0,1138.0,1403.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
50.0,248.0,1893.0,0.181818181818,0.5,0.333333333333,0.461538461538,0.5,0.6875,0.461538463831,0.600000023842,0.0
2.0,32.0,283.0,0.944444444444,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0
58.0,290.0,1087.0,0.9375,1.0,1.0,1.0,0.944444444444,1.0,1.0,1.0,1.0
110.0,612.0,343.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
288.0,1918.0,1182.0,0.166666666667,0.5,0.333333333333,0.5,0.4,0.66666662693,0.5,0.5,0.0
32.0,171.0,63.0,0.714285714286,0.577350258827,0.4,0.565217391304,0.48,0.66666662693,0.565217375755,0.565217375755,1.0
253.0,1625.0,863.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
121.0,694.0,1250.0,0.222222222222,0.5,0.333333333333,0.8,0.5625,0.633333325386,0.699999988079,0.800000011921,0.0
276.0,1840.0,1147.0,0.95,1.0,1.0,1.0,0.954545454545,1.0,1.0,1.0,1.0
259.0,1679.0,2545.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
212.0,1281.0,1845.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
324.0,2273.0,648.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
330.0,2322.0,1852.0,0.075,0.353553384542,0.2,0.371428571429,0.242424242424,0.546875,0.357142865658,0.40000000596,0.0
40.0,217.0,510.0,0.235294117647,0.5,0.333333333333,0.545454545455,0.461538461538,0.692307710648,0.54545456171,0.54545456171,0.0
386.0,2938.0,1785.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
241.0,1521.0,811.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
11.0,67.0,175.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
96.0,504.0,966.0,0.142857142857,0.5,0.333333333333,0.466666666667,0.454545454545,0.649999976158,0.444444447756,0.466666668653,0.0
67.0,354.0,335.0,0.947368421053,1.0,1.0,1.0,0.952380952381,1.0,1.0,1.0,1.0
318.0,2234.0,1784.0,0.941176470588,1.0,1.0,1.0,0.947368421053,1.0,1.0,1.0,1.0
17.0,93.0,51.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
267.0,1761.0,1695.0,0.888888888889,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,1.0
247.0,1582.0,1440.0,0.923076923077,1.0,1.0,1.0,0.933333333333,1.0,1.0,1.0,1.0
26.0,122.0,1269.0,0.304347826087,0.5,0.333333333333,0.6,0.555555555556,0.722222208977,0.600000023842,0.600000023842,0.0
250.0,1594.0,1824.0,0.0857142857143,0.288675129414,0.166666666667,0.3125,0.269230769231,0.519999980927,0.3125,0.3125,0.0
395.0,3007.0,1333.0,0.888888888889,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,1.0
75.0,420.0,161.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
73.0,391.0,1828.0,0.875,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
83.0,450.0,3002.0,0.157894736842,0.5,0.333333333333,0.45,0.384615384615,0.692307710648,0.416666656733,0.466666668653,0.0
257.0,1666.0,3062.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
264.0,1738.0,2167.0,0.285714285714,0.5,0.333333333333,0.777777777778,0.538461538462,0.653846144676,0.666666686535,0.777777791023,0.0
125.0,708.0,3048.0,0.117647058824,0.5,0.333333333333,0.42,0.461538461538,0.66666662693,0.40000000596,0.419999986887,0.0
84.0,458.0,19.0,0.25,0.5,0.333333333333,0.6,0.461538461538,0.653846144676,0.600000023842,0.600000023842,0.0
310.0,2171.0,1421.0,0.875,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
323.0,2261.0,760.0,0.260869565217,0.5,0.333333333333,0.614285714286,0.388888888889,0.611111104488,0.571428596973,0.614285707474,0.0
102.0,534.0,303.0,0.791666666667,0.577350258827,0.4,0.95652173913,0.92,0.958333313465,0.978260874748,0.956521749496,1.0
316.0,2226.0,686.0,0.941176470588,1.0,1.0,1.0,0.947368421053,1.0,1.0,1.0,1.0
244.0,1562.0,699.0,0.814814814815,0.577350258827,0.4,0.952380952381,0.931034482759,0.95454543829,0.976190447807,0.952380955219,1.0
365.0,2762.0,2700.0,0.923076923077,1.0,1.0,1.0,0.933333333333,1.0,1.0,1.0,1.0
138.0,767.0,607.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
380.0,2876.0,363.0,0.142857142857,0.353553384542,0.2,0.581818181818,0.307692307692,0.539999961853,0.54545456171,0.581818163395,0.0
246.0,1571.0,925.0,0.875,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
239.0,1489.0,681.0,0.75,0.577350258827,0.4,0.965517241379,0.935483870968,0.966666638851,0.982758641243,0.965517222881,1.0
375.0,2828.0,2482.0,0.916666666667,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
308.0,2165.0,1446.0,0.888888888889,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,1.0
204.0,1204.0,1917.0,0.923076923077,1.0,1.0,1.0,0.933333333333,1.0,1.0,1.0,1.0
381.0,2890.0,1068.0,0.944444444444,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.0
229.0,1409.0,705.0,0.875,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
390.0,2962.0,471.0,0.888888888889,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,0.0
379.0,2861.0,2144.0,0.933333333333,1.0,1.0,1.0,0.941176470588,1.0,1.0,1.0,1.0
348.0,2577.0,2665.0,0.9,1.0,1.0,1.0,0.916666666667,1.0,1.0,1.0,1.0
342.0,2512.0,1711.0,0.235294117647,0.5,0.333333333333,0.6,0.357142857143,0.571428537369,0.600000023842,0.600000023842,0.0
16.0,92.0,226.0,0.909090909091,1.0,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0
59.0,294.0,737.0,0.692307692308,1.0,1.0,0.583333333333,0.384615384615,0.58333337307,0.583333313465,0.583333313465,1.0
384.0,2921.0,201.0,0.2,0.5,0.333333333333,0.58,0.5,0.681818187237,0.5,0.579999983311,0.0
385.0,2931.0,1727.0,0.793103448276,0.670820355415,0.5,0.962962962963,0.931034482759,0.964285731316,0.981481492519,0.962962985039,1.0
158.0,853.0,329.0,0.933333333333,1.0,1.0,1.0,0.941176470588,1.0,1.0,1.0,1.0
240.0,1500.0,651.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
270.0,1812.0,721.0,0.909090909091,1.0,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0
289.0,1918.0,1836.0,0.0606060606061,0.408248275518,0.25,0.444444444444,0.206896551724,0.5,0.444444447756,0.444444447756,0.0
41.0,218.0,427.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
104.0,555.0,672.0,0.888888888889,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,1.0
377.0,2849.0,2079.0,0.157894736842,0.408248275518,0.25,0.416666666667,0.307692307692,0.653846144676,0.416666656733,0.416666656733,0.0
160.0,873.0,2271.0,0.928571428571,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
