ID,Title,Episodes,Producers,Genres,Type,Year,Rating
0,Kidou Senshi Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
1,Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
2,Mobile Suit Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
3,One Outs,25,MADHOUSE,"['Baseball', 'Based on a Manga', 'High Stakes Games', 'Psychological', 'Seinen', 'Sports']",TV,2008,4.39
4,Kara no Kyoukai Movie 4: Garan no Dou,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2008,4.38
5,Hunter x Hunter OVA,8,Nippon Animation,"['Action', 'Adventure', 'Based on a Manga', 'Martial Arts', 'Shounen', 'Superpowers']",OVA,2002,4.38
6,Tatami Galaxy,11,MADHOUSE,"['Abstract', 'Based on a Novel', 'Comedy', 'noitaminA', 'Romance', 'School Life', 'Seinen']",TV,2010,4.38
7,Yojouhan Shinwa Taikei,11,MADHOUSE,"['Abstract', 'Based on a Novel', 'Comedy', 'noitaminA', 'Romance', 'School Life', 'Seinen']",TV,2010,4.38
8,Sakurasou no Pet na Kanojo,24,J.C.Staff,"['Based on a Light Novel', 'Boarding House', 'Comedy', 'Romance', 'School Life']",TV,2012,4.38
9,The Pet Girl of Sakurasou,24,J.C.Staff,"['Based on a Light Novel', 'Boarding House', 'Comedy', 'Romance', 'School Life']",TV,2012,4.38
10,Wagnaria!!3,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Restaurants', 'Slice of Life', 'Work Life']",TV,2015,4.38
11,Working!!!,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Restaurants', 'Slice of Life', 'Work Life']",TV,2015,4.38
12,Gundam: The Origin,1+,Sunrise,"['Mecha', 'Outer Space', 'Sci Fi']",OVA,2015,4.38
13,Mobile Suit Gundam: The Origin,1+,Sunrise,"['Mecha', 'Outer Space', 'Sci Fi']",OVA,2015,4.38
14,Nisemonogatari,11,Shaft,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Supernatural', 'Tsundere']",TV,2012,4.38
15,Sword Art Online,25,A-1 Pictures,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'High Stakes Games', 'MMORPG', 'Person in a Strange World', 'RPG', 'Sci Fi', 'Virtual Reality']",TV,2012,4.38
16,To Aru Kagaku no Railgun S,24,J.C.Staff,"['Action', 'Magic', 'Psychic Powers', 'Sci Fi', 'Supernatural']",TV,2013,4.38
17,Nekomonogatari (Black),4,Shaft,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Supernatural']",TV,2012,4.38
18,Gintama: Shinyaku Benizakura-hen Special,1,Sunrise,"['Aliens', 'Comedy', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi']",DVD Special,2010,4.38
19,Legend of the Galactic Heroes: A Hundred Billion Stars A Hundred Billion Lights,24,,"['Based on a Novel', 'Outer Space', 'Space Opera']",OVA,1998,4.38
20,Ginga Eiyuu Densetsu: Sen'oku no Hoshi Sen'oku no Hikari,24,,"['Based on a Novel', 'Outer Space', 'Space Opera']",OVA,1998,4.38
21,Ace of the Diamond: Second Season,30+,Production I.G,"['Baseball', 'Based on a Manga', 'Sports']",TV,2015,4.38
22,Daiya no A ~Second Season~,30+,Production I.G,"['Baseball', 'Based on a Manga', 'Sports']",TV,2015,4.38
23,Natsume Yuujinchou,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2008,4.38
24,Natsume's Book of Friends,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2008,4.38
25,Welcome to the NHK!,24,GONZO,"['Based on a Light Novel', 'Comedy', 'Drama', 'Otaku Culture', 'Psychological', 'Slice of Life']",TV,2006,4.38
26,NHK ni Youkoso!,24,GONZO,"['Based on a Light Novel', 'Comedy', 'Drama', 'Otaku Culture', 'Psychological', 'Slice of Life']",TV,2006,4.38
27,Zankyou no Terror,11,Mappa,"['Action', 'Detectives', 'Drama', 'noitaminA', 'Psychological', 'Terrorism', 'Thriller']",TV,2014,4.38
28,Terror in Resonance,11,Mappa,"['Action', 'Detectives', 'Drama', 'noitaminA', 'Psychological', 'Terrorism', 'Thriller']",TV,2014,4.38
29,Uchuu Kyoudai,99,A-1 Pictures,"['Astronauts', 'Based on a Manga', 'Comedy', 'Drama', 'Sci Fi', 'Seinen', 'Work Life']",TV,2012,4.38
30,Space Brothers,99,A-1 Pictures,"['Astronauts', 'Based on a Manga', 'Comedy', 'Drama', 'Sci Fi', 'Seinen', 'Work Life']",TV,2012,4.38
31,Trigun,26,MADHOUSE,"['Action', 'Adventure', 'Based on a Manga', 'Comedy', 'Drama', 'Episodic', 'Gunfights', 'Shounen', 'Violence', 'Western']",TV,1998,4.38
32,My Love Story!!,24,MADHOUSE,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'Shoujo']",TV,2015,4.38
33,Ore Monogatari!!,24,MADHOUSE,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'Shoujo']",TV,2015,4.38
34,Black Lagoon: Roberta's Blood Trail,5,MADHOUSE,"['Action', 'Gunfights', 'Mercenaries', 'Physical Abuse', 'Revenge', 'Sexual Abuse', 'Violence']",OVA,2010,4.38
35,Tiger & Bunny The Movie: The Rising,1,Sunrise,"['Action', 'Comedy', 'Original Work', 'Sci Fi', 'Superpowers']",Movie,2014,4.37
36,Yowamushi Pedal: Grande Road,24,TMS Entertainment,"['Based on a Manga', 'Cycling', 'School Club', 'School Life', 'Sports']",TV,2014,4.37
37,Gekijouban Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners Recalled Out Summer,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
38,The Garden of Sinners: Mirai Fukuin,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
39,Kara no Kyoukai: Mirai Fukuin,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
40,Yona of the Dawn,24,Studio Pierrot,"['Adventure', 'Based on a Manga', 'Fantasy', 'Political', 'Shoujo']",TV,2014,4.37
41,Akatsuki no Yona,24,Studio Pierrot,"['Adventure', 'Based on a Manga', 'Fantasy', 'Political', 'Shoujo']",TV,2014,4.37
42,Gintama: Jump Festa 2008,1,Sunrise,"['Action', 'Aliens', 'Comedy', 'Crude', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Shorts', 'Swordplay', 'Violence']",Other,2008,4.37
43,Non Non Biyori Repeat,12,SILVER LINK,"['Based on a Manga', 'Comedy', 'Countryside', 'School Life', 'Slice of Life']",TV,2015,4.37
44,Mahou Shoujo Madoka Magica Movie 1: Hajimari no Monogatari,1,Shaft,"['Fantasy', 'Magic', 'Magical Girl', 'Psychological', 'Recap', 'School Life']",Movie,2012,4.37
45,Puella Magi Madoka Magica the Movie Part 1: Beginnings,1,Shaft,"['Fantasy', 'Magic', 'Magical Girl', 'Psychological', 'Recap', 'School Life']",Movie,2012,4.37
46,One Piece,715+,Toei Animation,"['Action', 'Adventure', 'Based on a Manga', 'Comedy', 'Pirates', 'Shounen', 'Superpowers']",TV,1999,4.37
47,Hajime no Ippo - Mashiba vs Kimura,1,MADHOUSE,"['Boxing', 'Hand to Hand Combat', 'Sports']",OVA,2003,4.37
48,Boruto -Naruto the Movie-,1,Studio Pierrot,"['Based on a Manga', 'Ninja', 'Shounen']",Movie,2015,4.55
49,Mushi-shi -Next Passage- Path of Thorns,2,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.55
50,Mushishi Zoku Shou Special,2,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.55
51,Shingeki no Kyojin,25,Production I.G,"['Action', 'Based on a Manga', 'Fantasy', 'Horror', 'Military', 'Violence']",TV,2013,4.55
52,Attack on Titan,25,Production I.G,"['Action', 'Based on a Manga', 'Fantasy', 'Horror', 'Military', 'Violence']",TV,2013,4.55
53,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2009,4.55
54,Great Teacher Onizuka,43,Studio Pierrot,"['Comedy', 'School Life', 'Work Life']",TV,1999,4.55
55,Mononoke Hime,1,Studio Ghibli,"['Action', 'Adventure', 'Environmental', 'Fantasy', 'Japanese Mythology', 'Original Work']",Movie,1997,4.54
56,Princess Mononoke,1,Studio Ghibli,"['Action', 'Adventure', 'Environmental', 'Fantasy', 'Japanese Mythology', 'Original Work']",Movie,1997,4.54
57,Steins;Gate Special,1,WHITE FOX,['Based on a Visual Novel'],DVD Special,2012,4.54
58,Fate/stay night: Unlimited Blade Works TV,12,ufotable,"['Action', 'Based on an Eroge', 'Based on a Visual Novel', 'Fantasy', 'Magic', 'Superpowers']",TV,2014,4.54
59,Bakuman. (2012),25,J.C.Staff,"['Based on a Manga', 'Drama', 'Manga Industry', 'Otaku Culture', 'Shounen']",TV,2012,4.54
60,Hajime no Ippo Rising,25,MADHOUSE,"['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Sports']",TV,2013,4.54
61,No Game No Life,12,MADHOUSE,"['Adventure', 'Based on a Light Novel', 'Ecchi', 'Fantasy', 'Person in a Strange World']",TV,2014,4.53
62,Howl's Moving Castle,1,Studio Ghibli,"['Adventure', 'Based on a Novel', 'Family Friendly', 'Fantasy', 'Magic']",Movie,2004,4.53
63,Ano Hi Mita Hana no Namae o Boku-tachi wa Mada Shiranai.,11,A-1 Pictures,"['Coming of Age', 'Drama', 'noitaminA', 'Original Work', 'Romance', 'Supernatural']",TV,2011,4.53
64,Anohana: The Flower We Saw That Day,11,A-1 Pictures,"['Coming of Age', 'Drama', 'noitaminA', 'Original Work', 'Romance', 'Supernatural']",TV,2011,4.53
