ID,Title,Episodes,Producers,Genres,Type,Year,Rating
0,Detective Conan Movie 04: Captured in Her Eyes,1,"['TMS Entertainment', 'FUNimation Entertainment', 'Polygram Japan', 'Kyokuichi Tokyo Movie Shinsha']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,2000,8.19
1,Hidamari Sketch: Sae Hiro Sotsugyou-hen,2,['Shaft'],"['Comedy', 'School', 'Slice of Life']", OVA,2013,8.2
2,Toaru Kagaku no Railgun S,24,"['J.C.Staff', 'Geneon Universal Entertainment', 'FUNimation Entertainment', 'Movic', 'AT-X', 'Warner Bros.', 'ASCII Media Works']","['Action', 'Fantasy', 'Sci-Fi', 'Super Power']", TV,2013,8.21
3,Tamako Love Story,1,['Kyoto Animation'],"['Comedy', 'Romance', 'Slice of Life']", Movie,2014,8.21
4,Working!!!,13,"['Aniplex', 'A-1 Pictures', 'Aniplex of America']","['Comedy', 'Slice of Life']", TV,2015,8.21
5,Touch,101,"['Studio Gallop', 'Group TAC']","['Drama', 'Romance', 'School', 'Shounen', 'Slice of Life', 'Sports']", TV,1985,8.21
6,Ghost in the Shell: Stand Alone Complex - The Laughing Man,1,"['Production I.G', 'Bandai Visual', 'Animax', 'Kodansha', 'Bandai Entertainment']","['Action', 'Mecha', 'Mystery', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']", Special,2005,8.2
7,Detective Conan Movie 03: The Last Wizard of the Century,1,"['TMS Entertainment', 'FUNimation Entertainment']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,1999,8.2
8,Igano Kabamaru,24,"['Group TAC', 'Studio Jack']","['Adventure', 'Comedy', 'Romance', 'Shounen']", TV,1983,8.2
9,Phantom: Requiem for the Phantom,26,"['Bee Train', 'Genco', 'FUNimation Entertainment']","['Action', 'Drama', 'Seinen', 'Thriller']", TV,2009,8.2
10,Prince of Tennis: The National Tournament Finals,7,"['Production I.G', 'NAS', 'M.S.C']","['Comedy', 'School', 'Shounen', 'Sports']", OVA,2008,8.2
11,Byousoku 5 Centimeter,3,"['ADV Films', 'Bandai Entertainment', 'CoMix Wave Films', 'Discotek']","['Drama', 'Romance', 'Slice of Life']", Movie,2007,8.19
12,Hikaru no Go,75,"['Studio Pierrot', 'TV Tokyo', 'Dentsu', 'Viz Media', 'Dream Force']","['Comedy', 'Game', 'Shounen', 'Supernatural']", TV,2001,8.2
13,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",1,"['Kyoto Animation', 'Pony Canyon', 'Sentai Filmworks']","['Drama', 'Romance', 'School', 'Slice of Life']", Special,2008,8.19
14,Dragon Ball Kai (2014),61,"['Toei Animation', 'FUNimation Entertainment']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']", TV,2014,8.19
15,Hanamonogatari,5,"['Aniplex', 'Shaft', 'Kodansha', 'Aniplex of America']","['Comedy', 'Mystery', 'Supernatural']", TV,2014,8.19
16,Kami nomi zo Shiru Sekai II,12,"['TV Tokyo', 'Geneon Universal Entertainment', 'Manglobe', 'Sentai Filmworks']","['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']", TV,2011,8.19
17,Kuroko no Basket 3rd Season NG-shuu,9,"['Production I.G', 'Bandai Visual']","['Comedy', 'Sports']", Special,2015,8.19
18,Major: Yuujou no Ikkyuu,1,['Xebec'],"['Action', 'Shounen', 'Sports']", Movie,2008,8.19
19,Nurarihyon no Mago: Sennen Makyou,24,"['Studio Deen', 'Yomiuri Telecasting Corporation', 'Viz Media', 'Yomiko Advertising', 'Pony Canyon', 'Toho Company']","['Action', 'Demons', 'Shounen', 'Supernatural']", TV,2011,8.19
20,School Rumble Ni Gakki,26,"['Sotsu Agency', 'Marvelous Entertainment', 'FUNimation Entertainment', 'Studio Comet', 'Studio Jack']","['Comedy', 'Romance', 'School', 'Shounen']", TV,2006,8.19
21,xxxHOLiC Shunmuki,2,"['Production I.G', 'Kodansha']","['Comedy', 'Drama', 'Mystery', 'Psychological', 'Supernatural']", OVA,2009,8.19
22,Mirai Nikki (TV),26,"['FUNimation Entertainment', 'Lantis', 'Kadokawa Shoten', 'Asread', 'Rakuonsha', 'Kadokawa Pictures Japan', 'The Klock Worx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create']","['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']", TV,2011,8.19
23,Aria The OVA: Arietta,1,"['Hal Film Maker', 'Right Stuf']","['Fantasy', 'Sci-Fi', 'Slice of Life']", OVA,2007,8.18
