id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters
1,Sunshine Co.,780 Washington Ave,Brooklyn,NY,11238,(347) 750-5275,sunshinecobk.com,$$,American (New);Cocktail Bars,4.0,Crown Heights; Prospect Heights,Yes,No,No,Yes,Brunch,Street,Casual,Hipster,Full Bar,Yes,Free,Yes,No
2,Adella,410 W 43rd St,New York,NY,10036,(212) 273-0737,adellanyc.com,$$,Tapas Bars;American (New);Wine Bars,4.0,Hell's Kitchen; Midtown West,Yes,No,No,Yes,Dessert,Street,Casual,Trendy,Beer & Wine Only,Yes,No,Yes,No
3,Rex,864 10th Ave,New York,NY,10019,(929) 900-5784,rexcoffeenyc.com,$,Coffee & Tea;Sandwiches,4.5,Hell's Kitchen; Midtown West,No,No,Yes,Yes,Breakfast,Street,Casual,Hipster,No,No,Free,No,Yes
4,Bistro Petit,170 S 3rd St,Brooklyn,NY,11211,(718) 782-2582,bistropetit.com,$$,French,4.0,Williamsburg - South Side,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,Yes,Yes
5,Jora Restaurant & Bar,47-46 11th St,Long Island City,NY,11101,(718) 392-2033,jorany.com,$$,Peruvian,4.5,Hunters Point; Long Island City,Yes,No,Yes,Yes,Dinner,Street; Private Lot,Casual,Casual,Full Bar,No,No,Yes,No
6,Il Falco,21-50 44 Dr,Long Island City,NY,11101,(718) 707-0009,ilfalcolic.com,$$$,Italian,4.5,Long Island City,Yes,Yes,Yes,Yes,Dinner,Valet; Street,Casual,Intimate,Full Bar,Yes,Free,Yes,Yes
7,Wolfnights,99 Rivington St,New York,NY,10002,(646) 669-8070,wolfnightsusa.com,$,Sandwiches,4.0,Lower East Side,No,Yes,Yes,Yes,Late Night,Street,Casual,Hipster,Beer & Wine Only,Yes,Free,No,Yes
8,Bogota Latin Bistro,141 5th Ave,Brooklyn,NY,11217,(718) 230-3805,bogotabistro.com,$$,Latin American;Gluten-Free,4.0,Park Slope,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
9,The Kati Roll Company,49 W 39th St,New York,NY,10018,(212) 730-4280,thekatirollcompany.com,$,Indian,4.0,Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
10,Prospect,773 Fulton St,Brooklyn,NY,11217,(718) 596-6826,prospectbk.com,$$$,American (New),4.0,Fort Greene,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,Yes
11,Caracas Arepa Bar,93 1/2 E 7th St,New York,NY,10009,(212) 529-2314,caracasarepabar.com,$$,Venezuelan,4.0,East Village,No,No,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
12,Sweet Chick,164 Bedford Avenue,Brooklyn,NY,11211,(347) 725-4793,sweetchicknyc.com,$$,Southern,4.0,Williamsburg - North Side,No,No,Yes,Yes,Brunch,Street,Casual,Hipster,Full Bar,No,No,Yes,No
13,Emporio,231 Mott St,New York,NY,10012,(212) 966-1234,emporiony.com,$$,Italian;Pizza,4.0,Nolita,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Romantic,Full Bar,No,No,Yes,Yes
14,Riko Peruvian Cuisine,409 8th Ave,New York,NY,10001,(212) 643-7555,,$$,Peruvian,4.0,Chelsea; Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,Yes
15,Cowgirl Sea Horse,259 Front St,New York,NY,10038,(212) 608-7873,ordercowgirlseahorse.com,$$,Tex-Mex;Seafood,3.5,Financial District,Yes,Yes,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
16,White Oak Tavern,21 Waverly Pl,New York,NY,10003,(212) 260-2604,whiteoakny.com,$$,Bars;Comfort Food;American (Traditional),4.0,Greenwich Village,Yes,No,Yes,Yes,Brunch; Late Night,Street,Casual,Hipster,Full Bar,No,Free,Yes,No
17,La Esquina Corner Deli,114 Kenmare St,New York,NY,10012,(646) 613-7100,esquinanyc.com,$$,Latin American;Mexican,4.0,SoHo,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
18,Vin et Fleurs,69 Thompson St,New York,NY,10012,(212) 431-3335,vinetfleurs.com,$$,French,4.0,South Village,No,Yes,Yes,Yes,Brunch,Garage; Street,Casual,Intimate,Full Bar,No,No,Yes,No
19,YUJI Ramen,150 Ainslie St,Brooklyn,NY,11211,(718) 302-0598,yujiramen.com,$$,Ramen,5.0,Williamsburg - North Side,No,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
20,The Green Table,Chelsea Market 75 9th Ave,New York,NY,10011,(212) 741-6623,cleaverco.com/green-table,$$,Vegetarian;American (New);Breakfast & Brunch,4.0,Meatpacking District; Chelsea,Yes,No,No,Yes,Lunch; Dinner,Garage; Street,Casual,Casual,Full Bar,No,No,Yes,Yes
21,Gotan,130 Franklin St,New York,NY,10013,(212) 431-5200,gotannyc.com,$$,Cafes,4.5,TriBeCa,No,No,Yes,Yes,Brunch,,Casual,Trendy,No,Yes,Free,Yes,Yes
22,The Eddy,342 E 6th St,New York,NY,10003,(646) 895-9884,theeddynyc.com,$$$,American (New),4.5,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
23,Nai Tapas Bar,174 1st Ave,New York,NY,10009,(212) 677-1030,naitapas.nyc,$$,Tapas/Small Plates,4.0,East Village,Yes,No,Yes,Yes,Dinner,Garage; Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
