ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
0.html,A Guide to the Project Management Body of Knowledge (Pmbok Guide) - 5th Edition / Edition 5,Project Management Institute,,$38.17 ,,,9.78194E+12,978-1935589679,,Project Management Institute,,332,589,10.86(w) x 8.26(h) x 1.24(d)
1.html,Windows 10: The Missing Manual,David Pogue,,$23.41 ,$19.99 ,,9.78149E+12,978-1491947173,,"O'Reilly Media, Incorporated",,300,696,7.00(w) x 9.20(h) x 1.40(d)
2.html,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",Gene Kim# Kevin Behr# George Spafford, ,$13.17 ,$9.99 ,,9.78099E+12,978-0988262508,,IT Revolution Press,,"30,046",376,5.90(w) x 8.90(h) x 1.10(d)
3.html,Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,$17.46 ,,$14.99 ,$31.83 ,9.78159E+12,978-1594205552,,Penguin Publishing Group,,238,448,
4.html,A Work in Progress,Connor Franta,,$12.17 ,$12.99 ,,9.78148E+12,978-1476791616,,Atria/Keywords Press,,266,224,5.40(w) x 8.30(h) x 0.80(d)
5.html,Windows 10 For Dummies,Andy Rathbone,,$15.36 ,$12.99 ,,9.78112E+12,978-1119049364,,Wiley,,476,432,7.30(w) x 9.20(h) x 0.90(d)
6.html,DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,,$11.54 ,$8.49 ,,9.78163E+12,978-1630474775,,Morgan James Publishing,,"1,685",236,5.40(w) x 8.40(h) x 0.80(d)
7.html,Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level,Ryan Levesque,,$7.21 ,$6.99 ,,9.78194E+12,978-1939447722,,Dunham Books,,"2,547",160,5.50(w) x 8.40(h) x 0.60(d)
8.html,Youtube : I Invented You Tube,Eric Skaggs,,,,,9.78131E+12,978-1312931596,,Lulu.com,,"4,161",,
9.html,"Alan Turing: The Enigma: The Book That Inspired the Film ""The Imitation Game""",Andrew Hodges,,$13.05 ,$6.78 ,,9.78069E+12,978-0691164724,,Princeton University Press,,"17,053",768,5.00(w) x 7.70(h) x 2.20(d)
10.html,Minecraft Craftings,Ika Maisuradze,,,,,9.78277E+12,978-2765913511,,Ika Maisuradze,,"10,063",,
11.html,"Candy Crush Soda Saga: The Juicy, Tasty, Sodalicious, and Soda Crush, Unofficial Player's Guide with Secret Tips, Tricks and Strategies",Jack Adams,,,,,2.94005E+12,294-0046317978,,Jack Adams,,"10,535",,
